user_id,variant,sessions_14d,retained_30d,revenue_30d,platform
u000344,control,10,1,58.73,ios
u000345,control,7,1,22.55,ios
u000346,control,4,1,17.65,ios
u000347,control,9,0,84.08,web
u000348,control,10,1,37.58,web
u000349,control,9,0,63.8,web
u000350,control,8,1,104.43,ios
u000351,control,8,1,25.22,ios
u000352,control,4,0,15.22,android
u000353,control,4,1,18.42,android
u000354,control,9,1,34.28,web
u000355,control,5,0,44.05,ios
u000356,control,5,1,13.61,android
u000357,control,7,1,56.52,ios
u000358,control,7,0,28.55,android
u000359,control,6,0,29.93,android
u000360,control,10,1,54.28,web
u000361,control,8,0,49.95,ios
u000362,control,10,1,23.39,ios
u000363,control,11,0,60.04,android
u000364,control,7,0,34.75,android
u000365,control,13,0,99.68,web
u000366,control,6,1,41.12,web
u000367,control,5,0,42.56,ios
u000368,control,7,1,34.61,web
u000369,control,9,0,48.14,android
u000370,control,10,0,53.71,ios
u000371,control,13,1,31.91,web
u000372,control,11,1,91.68,web
u000373,control,8,1,39.23,ios
u000374,control,7,0,24.54,ios
u000375,control,5,1,32.59,android
u000376,control,8,1,34.81,android
u000377,control,3,1,23.08,ios
u000378,control,6,0,22.95,android
u000379,control,9,1,67.68,ios
u000380,control,7,1,96.42,web
u000381,control,9,0,17.8,web
u000382,control,6,0,40.1,ios
u000383,control,10,0,27.46,ios
u000384,control,14,1,54.57,web
u000385,control,9,1,41.07,android
u000386,control,6,0,20.34,ios
u000387,control,9,0,37.08,android
u000388,control,12,0,75.78,android
u000389,control,7,0,30.29,web
u000390,control,14,0,28.77,web
u000391,control,6,0,29.83,web
u000392,control,7,1,37.77,ios
u000393,control,4,1,15.04,android
u000394,control,14,1,62.85,ios
u000395,control,11,0,25.14,android
u000396,control,9,1,17.39,ios
u000397,control,8,0,32.49,android
u000398,control,6,1,18.9,ios
u000399,control,6,0,25.89,ios
u000400,control,6,1,15.49,web
u000401,control,7,1,43.77,ios
u000402,control,5,1,17.69,web
u000403,control,4,1,17.67,ios
u000404,control,6,1,17.67,android
u000405,control,7,1,41.82,ios
u000406,control,10,1,19.37,android
u000407,control,10,1,35.31,ios
u000408,control,9,0,78.77,web
u000409,control,10,1,66.6,android
u000410,control,4,1,31.2,ios
u000411,control,15,1,63.62,android
u000412,control,9,1,56.66,web
u000413,control,5,1,65.14,ios
u000414,control,3,0,11.73,android
u000415,control,12,0,79.75,ios
u000416,control,6,0,97.58,web
u000417,control,6,0,10.43,web
u000418,control,7,0,56.15,web
u000419,control,9,0,37.4,ios
u000420,control,11,1,46.27,ios
u000421,control,5,1,7.85,web
u000422,control,7,0,31.4,web
u000423,control,7,0,61.57,ios
u000424,control,7,0,31.57,web
u000425,control,9,1,29.2,ios
u000426,control,17,0,112.55,android
u000427,control,3,1,18.22,android
u000428,control,12,1,21.29,android
u000429,control,9,0,61.63,ios
u000430,control,8,1,24.26,web
u000431,control,10,1,38.12,android
u000432,control,8,1,127.77,ios
u000433,control,8,1,35.98,ios
u000434,control,10,1,52.21,android
u000435,control,6,0,13.04,web
u000436,control,7,1,56.62,ios
u000437,control,4,1,10.43,ios
u000438,control,8,1,26.78,web
u000439,control,6,1,36.0,web
u000440,control,11,1,13.35,android
u000441,control,12,1,78.04,web
u000442,control,11,0,26.37,android
u000443,control,9,1,33.77,ios
u000444,control,9,1,45.85,android
u000445,control,10,0,47.89,web
u000446,control,8,0,70.19,web
u000447,control,8,0,18.49,android
u000448,control,11,0,42.83,ios
u000449,control,10,1,43.25,android
u000450,control,6,1,33.55,android
u000451,control,13,1,175.47,ios
u000452,control,12,0,64.93,ios
u000453,control,2,0,7.82,web
u000454,control,7,0,59.26,web
u000455,control,6,1,36.77,android
u000456,control,19,1,110.71,android
u000457,control,3,1,10.47,ios
u000458,control,8,1,40.59,android
u000459,control,6,1,21.14,ios
u000460,control,6,1,36.82,ios
u000461,control,12,1,54.72,web
u000462,control,4,0,15.17,android
u000463,control,9,1,59.06,ios
u000464,control,12,1,33.1,web
u000465,control,10,1,65.96,ios
u000466,control,6,1,30.19,ios
u000467,control,11,1,58.02,ios
u000468,control,10,1,45.28,web
u000469,control,9,0,11.1,web
u000470,control,5,1,33.51,ios
u000471,control,8,1,92.9,web
u000472,control,12,1,39.24,ios
u000473,control,8,0,20.67,web
u000474,control,6,1,36.18,android
u000475,control,5,1,32.54,web
u000476,control,9,1,53.16,ios
u000477,control,8,1,51.33,android
u000478,control,5,0,27.42,web
u000479,control,10,1,109.98,android
u000480,control,9,0,27.22,ios
u000481,control,6,1,8.32,web
u000482,control,10,1,66.52,android
u000483,control,4,1,16.27,android
u000484,control,14,1,66.21,ios
u000485,control,10,1,41.86,ios
u000486,control,8,0,39.35,ios
u000487,control,9,1,32.82,ios
u000488,control,8,1,39.62,ios
u000489,control,15,1,107.9,ios
u000490,control,13,1,44.59,web
u000491,control,12,1,110.06,ios
u000492,control,8,0,59.25,ios
u000493,control,5,1,38.78,android
u000494,control,9,1,41.41,web
u000495,control,7,1,69.33,ios
u000496,control,6,1,27.04,web
u000497,control,9,1,31.68,web
u000498,control,7,1,79.79,web
u000499,control,8,1,15.65,android
u000500,control,12,0,78.92,android
u000501,control,11,1,33.47,ios
u000502,control,12,1,69.74,android
u000503,control,6,1,31.64,android
u000504,control,8,1,54.95,ios
u000505,control,8,1,65.89,web
u000506,control,10,1,23.21,ios
u000507,control,8,0,18.81,web
u000508,control,12,1,54.35,android
u000509,control,7,0,15.93,android
u000510,control,4,0,23.63,ios
u000511,control,10,1,47.45,android
u000512,control,10,1,46.9,ios
u000513,control,5,1,12.28,web
u000514,control,12,0,35.9,ios
u000515,control,8,1,119.14,ios
u000516,control,7,1,54.58,ios
u000517,control,3,1,7.96,ios
u000518,control,8,1,48.21,ios
u000519,control,7,0,51.34,ios
u000520,control,9,1,31.48,ios
u000521,control,6,1,20.38,ios
u000522,control,11,0,60.49,web
u000523,control,6,1,51.83,web
u000524,control,11,1,43.5,web
u000525,control,9,0,43.22,android
u000526,control,11,1,37.32,android
u000527,control,11,0,37.26,web
u000528,control,5,1,49.73,ios
u000529,control,7,1,35.09,web
u000530,control,12,0,69.59,web
u000531,control,4,1,7.49,web
u000532,control,4,1,15.9,web
u000533,control,7,1,32.29,ios
u000534,control,4,1,21.8,ios
u000535,control,7,1,52.74,web
u000536,control,6,0,28.04,web
u000537,control,7,0,65.18,web
u000538,control,7,1,41.0,ios
u000539,control,6,1,40.16,web
u000540,control,5,0,27.52,android
u000541,control,12,0,22.98,ios
u000542,control,14,1,62.96,ios
u000543,control,8,1,12.51,android
u000544,control,12,0,40.71,web
u000545,control,8,0,30.54,android
u000546,control,11,1,26.58,android
u000547,control,11,0,42.54,web
u000548,control,10,0,98.18,ios
u000549,control,14,0,66.05,android
u000550,control,4,0,12.3,ios
u000551,control,7,0,26.69,ios
u000552,control,5,1,29.03,ios
u000553,control,4,1,21.65,android
u000554,control,5,1,16.13,ios
u000555,control,9,1,21.67,android
u000556,control,8,1,21.36,web
u000557,control,12,1,37.23,web
u000558,control,4,0,14.54,ios
u000559,control,7,0,31.15,ios
u000560,control,7,1,27.78,ios
u000561,control,9,1,75.75,ios
u000562,control,8,0,72.14,android
u000563,control,13,1,45.66,web
u000564,control,4,1,47.49,android
u000565,control,3,0,17.02,android
u000566,control,7,1,24.02,android
u000567,control,5,0,8.59,ios
u000568,control,3,1,13.41,ios
u000569,control,9,1,42.96,android
u000570,control,4,1,51.17,web
u000571,control,9,1,47.4,android
u000572,control,8,0,30.9,web
u000573,control,6,0,36.91,android
u000574,control,12,0,107.55,android
u000575,control,11,1,47.81,android
u000576,control,10,0,34.83,android
u000577,control,8,0,18.55,ios
u000578,control,4,1,10.74,ios
u000579,control,12,0,25.79,ios
u000580,control,10,1,88.46,ios
u000581,control,10,1,46.48,web
u000582,control,12,1,19.32,ios
u000583,control,6,0,48.12,ios
u000584,control,14,1,28.7,android
u000585,control,7,0,49.05,web
u000586,control,10,0,42.08,ios
u000587,control,8,1,24.29,web
u000588,control,8,0,25.33,ios
u000589,control,4,1,53.49,android
u000590,control,9,0,41.34,android
u000591,control,12,0,129.45,android
u000592,control,7,0,40.87,ios
u000593,control,8,0,46.36,web
u000594,control,5,0,33.36,ios
u000595,control,12,0,98.99,web
u000596,control,7,1,32.6,web
u000597,control,7,0,35.21,ios
u000598,control,7,1,40.06,web
u000599,control,4,1,15.47,ios
u000600,control,7,0,67.44,android
u000601,control,13,1,148.68,web
u000602,control,11,1,16.84,web
u000603,control,9,1,32.04,android
u000604,control,9,0,25.44,ios
u000605,control,10,0,36.02,ios
u000606,control,12,1,83.01,web
u000607,control,7,0,21.59,ios
u000608,control,9,0,26.06,android
u000609,control,9,1,41.77,web
u000610,control,9,0,64.75,web
u000611,control,6,1,31.58,web
u000612,control,9,1,16.22,ios
u000613,control,6,1,19.04,android
u000614,control,8,1,71.23,ios
u000615,control,10,0,45.18,web
u000616,control,9,1,27.59,android
u000617,control,11,1,89.47,ios
u000618,control,6,0,28.4,ios
u000619,control,7,1,24.3,android
u000620,control,11,1,52.97,web
u000621,control,4,1,18.11,web
u000622,control,11,1,31.19,ios
u000623,control,11,0,65.27,android
u000624,control,6,1,28.88,android
u000625,control,6,1,27.31,ios
u000626,control,8,0,33.19,ios
u000627,control,3,1,19.48,web
u000628,control,11,1,177.7,android
u000629,control,6,1,57.08,ios
u000630,control,4,1,13.78,ios
u000631,control,7,0,54.85,ios
u000632,control,8,1,68.88,ios
u000633,control,8,0,41.18,web
u000634,control,6,0,18.31,ios
u000635,control,6,0,27.8,android
u000636,control,8,1,38.04,web
u000637,control,5,1,25.08,web
u000638,control,9,0,38.94,web
u000639,control,10,0,91.94,ios
u000640,control,4,0,31.13,web
u000641,control,3,0,20.31,web
u000642,control,11,1,63.03,web
u000643,control,15,0,58.99,ios
u000644,control,12,1,78.73,web
u000645,control,6,1,36.83,ios
u000646,control,7,1,25.36,android
u000647,control,8,1,60.11,ios
u000648,control,8,0,33.38,web
u000649,control,9,1,51.52,ios
u000650,control,10,1,23.84,android
u000651,control,8,1,45.75,android
u000652,control,9,1,76.57,android
u000653,control,8,1,37.3,web
u000654,control,9,0,54.75,web
u000655,control,14,1,55.63,ios
u000656,control,7,1,43.25,ios
u000657,control,6,0,36.5,android
u000658,control,10,0,44.02,ios
u000659,control,7,1,44.49,ios
u000660,control,9,0,43.35,ios
u000661,control,7,0,31.96,web
u000662,control,10,0,75.0,web
u000663,control,10,0,64.88,web
u000664,control,8,0,21.09,web
u000665,control,5,1,16.57,android
u000666,control,10,1,34.6,web
u000667,control,13,0,107.55,ios
u000668,control,12,0,59.03,web
u000669,control,6,1,13.65,android
u000670,control,9,1,22.16,web
u000671,control,7,0,40.96,ios
u000672,control,10,1,39.43,ios
u000673,control,5,0,16.78,web
u000674,control,12,1,71.73,android
u000675,control,6,0,23.36,android
u000676,control,3,1,7.81,ios
u000677,control,7,0,27.42,android
u000678,control,5,1,30.79,web
u000679,control,6,0,11.06,ios
u000680,control,7,1,15.62,android
u000681,control,10,1,30.74,ios
u000682,control,11,0,40.26,android
u000683,control,16,0,112.49,android
u000684,control,7,0,28.83,android
u000685,control,8,1,28.03,web
u000686,control,1,1,3.05,web
u000687,control,8,0,26.67,web
u000688,control,10,1,70.35,ios
u000689,control,8,1,33.0,web
u000690,control,7,0,49.51,android
u000691,control,9,0,36.93,android
u000692,control,7,1,48.01,android
u000693,control,11,1,68.98,android
u000694,control,8,0,34.22,ios
u000695,control,7,1,16.37,ios
u000696,control,11,1,38.69,ios
u000697,control,4,1,23.75,android
u000698,control,6,0,44.86,android
u000699,control,4,0,14.5,android
u000700,control,11,1,59.09,web
u000701,control,12,1,61.55,ios
u000702,control,11,0,32.29,ios
u000703,control,9,1,53.79,web
u000704,control,5,0,17.97,android
u000705,control,6,0,24.84,android
u000706,control,6,1,27.1,android
u000707,control,2,1,7.27,web
u000708,control,8,0,32.5,android
u000709,control,6,1,23.08,android
u000710,control,9,1,33.18,web
u000711,control,3,1,13.5,ios
u000712,control,10,1,33.0,web
u000713,control,5,0,14.41,android
u000714,control,9,1,26.44,android
u000715,control,5,1,16.59,web
u000716,control,4,1,10.28,ios
u000717,control,5,0,42.48,web
u000718,control,11,0,21.53,ios
u000719,control,10,1,33.75,android
u000720,control,9,1,45.61,ios
u000721,control,5,1,68.27,web
u000722,control,8,1,72.76,ios
u000723,control,8,0,25.91,ios
u000724,control,11,0,120.61,ios
u000725,control,11,1,111.71,android
u000726,control,11,1,46.67,ios
u000727,control,10,1,57.05,android
u000728,control,10,1,27.07,android
u000729,control,12,0,77.13,ios
u000730,control,5,0,20.47,ios
u000731,control,7,1,31.11,ios
u000732,control,8,1,24.61,web
u000733,control,10,1,40.27,ios
u000734,control,11,0,66.82,web
u000735,control,12,0,45.28,android
u000736,control,8,0,30.98,web
u000737,control,9,1,41.58,ios
u000738,control,5,0,27.54,web
u000739,control,8,1,54.8,ios
u000740,control,13,1,88.79,ios
u000741,control,15,1,143.98,android
u000742,control,9,1,93.66,web
u000743,control,8,0,37.64,web
u000744,control,9,0,55.42,web
u000745,control,10,0,89.12,web
u000746,control,10,0,66.87,android
u000747,control,6,0,32.27,web
u000748,control,6,0,9.57,android
u000749,control,10,0,64.5,android
u000750,control,10,0,21.84,ios
u000751,control,14,1,24.95,web
u000752,control,7,1,50.36,ios
u000753,control,9,0,36.6,android
u000754,control,9,0,28.27,ios
u000755,control,7,1,106.37,android
u000756,control,7,1,30.22,web
u000757,control,5,1,8.84,web
u000758,control,12,1,76.06,web
u000759,control,7,0,41.62,web
u000760,control,13,0,42.42,ios
u000761,control,11,0,35.26,ios
u000762,control,6,0,19.88,web
u000763,control,5,0,18.57,ios
u000764,control,5,0,22.39,ios
u000765,control,8,0,23.69,web
u000766,control,8,1,18.25,web
u000767,control,7,0,23.86,android
u000768,control,10,1,48.57,ios
u000769,control,9,0,45.05,web
u000770,control,11,0,77.79,android
u000771,control,10,1,53.74,ios
u000772,control,8,1,38.67,android
u000773,control,8,1,29.57,android
u000774,control,11,1,45.39,android
u000775,control,9,0,34.45,web
u000776,control,7,0,18.99,android
u000777,control,2,0,8.31,web
u000778,control,5,0,10.69,android
u000779,control,6,0,53.39,android
u000780,control,10,1,49.33,ios
u000781,control,8,1,91.63,web
u000782,control,12,0,72.8,android
u000783,control,7,1,42.19,ios
u000784,control,8,0,23.18,ios
u000785,control,8,1,25.66,ios
u000786,control,9,1,59.04,ios
u000787,control,5,0,25.62,android
u000788,control,6,0,17.91,ios
u000789,control,8,0,29.01,web
u000790,control,13,1,70.9,web
u000791,control,10,1,20.13,android
u000792,control,12,0,20.47,android
u000793,control,10,1,22.59,android
u000794,control,7,1,37.31,android
u000795,control,7,0,36.87,ios
u000796,control,4,1,53.76,web
u000797,control,8,0,16.51,web
u000798,control,9,0,22.84,ios
u000799,control,4,1,32.69,android
u000800,control,8,0,23.92,ios
u000801,control,3,0,7.68,ios
u000802,control,10,1,68.21,ios
u000803,control,6,1,133.91,web
u000804,control,8,0,33.02,android
u000805,control,7,1,29.43,web
u000806,control,8,1,22.41,ios
u000807,control,8,1,66.38,web
u000808,control,5,0,23.34,android
u000809,control,3,1,13.91,web
u000810,control,11,1,51.5,android
u000811,control,3,0,19.98,ios
u000812,control,5,1,59.73,android
u000813,control,4,0,13.26,android
u000814,control,8,1,28.48,web
u000815,control,10,0,36.78,web
u000816,control,5,1,31.51,web
u000817,control,4,0,14.68,web
u000818,control,11,1,74.92,android
u000819,control,12,1,66.14,ios
u000820,control,8,1,50.52,web
u000821,control,8,1,76.65,web
u000822,control,5,1,54.94,ios
u000823,control,12,1,66.43,web
u000824,control,15,0,33.68,android
u000825,control,5,1,27.2,android
u000826,control,14,0,84.87,android
u000827,control,5,0,28.68,web
u000828,control,4,1,13.15,android
u000829,control,4,0,20.1,web
u000830,control,8,0,25.03,web
u000831,control,6,1,24.33,android
u000832,control,4,1,27.54,ios
u000833,control,10,1,81.18,ios
u000834,control,9,1,142.27,ios
u000835,control,7,1,43.81,web
u000836,control,11,0,63.64,ios
u000837,control,4,0,24.5,web
u000838,control,8,1,54.32,web
u000839,control,13,1,52.0,ios
u000840,control,12,1,125.09,ios
u000841,control,9,1,34.57,ios
u000842,control,10,0,144.42,web
u000843,control,12,0,52.97,ios
u000844,control,11,1,34.99,web
u000845,control,7,0,19.49,ios
u000846,control,5,0,21.74,ios
u000847,control,7,0,28.9,android
u000848,control,11,1,71.89,ios
u000849,control,3,1,12.06,android
u000850,control,8,0,31.5,web
u000851,control,7,1,11.98,android
