user_id,variant,converted,revenue,platform,signup_days
u000097,control,1,48.31,web,140
u000098,control,1,30.67,ios,47
u000099,control,1,59.11,android,39
u000100,control,0,0.0,web,77
u000101,control,0,0.0,android,63
u000102,control,0,0.0,ios,76
u000103,control,0,0.0,android,27
u000104,control,0,0.0,web,175
u000105,control,0,0.0,ios,313
u000106,control,0,0.0,web,27
u000107,control,0,0.0,android,256
u000108,control,1,14.55,ios,29
u000109,control,1,20.48,android,89
u000110,control,0,0.0,ios,174
u000111,control,0,0.0,android,66
u000112,control,0,0.0,ios,8
u000113,control,1,11.15,android,256
u000114,control,0,0.0,android,515
u000115,control,0,0.0,ios,333
u000116,control,0,0.0,ios,101
u000117,control,0,0.0,web,452
u000118,control,0,0.0,android,58
u000119,control,0,0.0,android,67
u000120,control,1,13.62,ios,178
u000121,control,0,0.0,web,483
u000122,control,0,0.0,android,1
u000123,control,0,0.0,android,181
u000124,control,0,0.0,ios,166
u000125,control,1,13.85,web,11
u000126,control,1,13.99,ios,114
u000127,control,0,0.0,web,95
u000128,control,0,0.0,android,120
u000129,control,0,0.0,android,394
u000130,control,0,0.0,android,947
u000131,control,0,0.0,ios,409
u000132,control,0,0.0,ios,183
u000133,control,1,15.96,android,285
u000134,control,1,109.08,web,35
u000135,control,0,0.0,android,252
u000136,control,1,19.09,ios,27
u000137,control,1,7.11,web,345
u000138,control,1,143.65,android,296
u000139,control,0,0.0,ios,107
u000140,control,0,0.0,web,236
u000141,control,0,0.0,ios,106
u000142,control,0,0.0,ios,174
u000143,control,0,0.0,ios,264
u000144,control,1,18.31,ios,151
u000145,control,1,10.94,ios,201
u000146,control,1,43.89,ios,393
u000147,control,1,72.74,web,135
u000148,control,1,72.43,web,8
u000149,control,0,0.0,ios,36
u000150,control,0,0.0,android,51
u000151,control,1,11.39,web,5
u000152,control,0,0.0,ios,213
u000153,control,1,89.29,web,54
u000154,control,0,0.0,ios,359
u000155,control,1,8.11,web,21
u000156,control,0,0.0,android,52
u000157,control,1,8.66,ios,29
u000158,control,1,58.68,android,84
u000159,control,0,0.0,web,155
u000160,control,0,0.0,ios,585
u000161,control,0,0.0,ios,372
u000162,control,0,0.0,android,84
u000163,control,0,0.0,web,40
u000164,control,0,0.0,ios,36
u000165,control,0,0.0,ios,116
u000166,control,1,8.19,web,35
u000167,control,0,0.0,android,59
u000168,control,1,43.91,ios,250
u000169,control,1,38.23,android,64
u000170,control,1,39.64,web,135
u000171,control,1,64.69,web,154
u000172,control,1,58.61,web,105
u000173,control,1,60.93,ios,713
u000174,control,0,0.0,web,198
u000175,control,1,26.84,ios,40
u000176,control,0,0.0,android,319
u000177,control,1,24.94,web,40
u000178,control,0,0.0,android,140
u000179,control,1,81.42,ios,109
u000180,control,0,0.0,web,10
u000181,control,0,0.0,android,472
u000182,control,0,0.0,android,349
u000183,control,0,0.0,android,170
u000184,control,0,0.0,android,24
u000185,control,0,0.0,android,37
u000186,control,0,0.0,web,361
u000187,control,0,0.0,ios,169
u000188,control,0,0.0,android,74
u000189,control,0,0.0,ios,100
u000190,control,0,0.0,ios,14
u000191,control,1,4.28,ios,354
u000192,control,1,22.82,android,122
u000193,control,1,50.29,android,92
u000194,control,0,0.0,android,83
u000195,control,1,9.32,android,497
u000196,control,0,0.0,ios,35
u000197,control,0,0.0,android,312
u000198,control,1,15.97,ios,38
u000199,control,0,0.0,android,322
u000200,control,0,0.0,web,17
u000201,control,0,0.0,ios,65
u000202,control,0,0.0,android,530
u000203,control,0,0.0,ios,118
u000204,control,0,0.0,ios,288
u000205,control,0,0.0,android,203
u000206,control,0,0.0,web,153
u000207,control,1,28.08,ios,163
u000208,control,0,0.0,android,29
u000209,control,0,0.0,android,49
u000210,control,0,0.0,android,632
u000211,control,1,61.83,web,294
u000212,control,1,13.82,ios,167
u000213,control,1,15.87,android,486
u000214,control,0,0.0,ios,12
u000215,control,1,47.38,android,88
u000216,control,1,11.54,android,377
u000217,control,1,31.46,web,59
u000218,control,0,0.0,web,76
u000219,control,0,0.0,ios,26
u000220,control,1,30.53,android,159
u000221,control,0,0.0,web,48
u000222,control,0,0.0,ios,71
u000223,control,1,90.52,android,72
u000224,control,1,29.24,android,79
u000225,control,0,0.0,web,103
u000226,control,0,0.0,ios,650
u000227,control,0,0.0,web,215
u000228,control,0,0.0,ios,31
u000229,control,0,0.0,android,76
u000230,control,0,0.0,ios,24
u000231,control,0,0.0,android,140
u000232,control,0,0.0,ios,4
u000233,control,0,0.0,android,2
u000234,control,0,0.0,ios,284
u000235,control,0,0.0,android,38
u000236,control,0,0.0,android,83
u000237,control,0,0.0,ios,323
u000238,control,1,81.87,android,44
u000239,control,1,34.06,android,172
u000240,control,0,0.0,ios,83
u000241,control,0,0.0,web,128
u000242,control,0,0.0,ios,17
u000243,control,1,6.2,ios,198
u000244,control,1,18.78,web,534
u000245,control,1,39.43,web,123
u000246,control,1,10.83,web,153
u000247,control,1,92.03,ios,61
u000248,control,1,15.92,ios,61
u000249,control,1,37.54,web,12
u000250,control,1,23.76,android,294
u000251,control,1,70.48,android,59
u000252,control,1,39.26,android,423
u000253,control,1,15.84,ios,10
u000254,control,0,0.0,web,645
u000255,control,0,0.0,web,46
u000256,control,0,0.0,android,286
u000257,control,1,36.3,android,396
u000258,control,0,0.0,ios,286
u000259,control,1,57.41,ios,120
u000260,control,1,24.82,ios,86
u000261,control,1,64.28,ios,9
u000262,control,0,0.0,web,9
u000263,control,0,0.0,android,265
u000264,control,1,103.06,web,537
u000265,control,1,12.46,android,5
u000266,control,0,0.0,ios,168
u000267,control,0,0.0,android,39
u000268,control,1,52.93,ios,17
u000269,control,1,47.38,ios,84
u000270,control,0,0.0,ios,310
u000271,control,0,0.0,web,122
u000272,control,0,0.0,web,2
u000273,control,1,14.33,web,127
u000274,control,0,0.0,android,60
u000275,control,0,0.0,ios,317
u000276,control,0,0.0,ios,203
u000277,control,0,0.0,web,6
u000278,control,0,0.0,android,116
u000279,control,0,0.0,web,163
u000280,control,0,0.0,android,30
u000281,control,0,0.0,android,155
u000282,control,0,0.0,web,78
u000283,control,0,0.0,ios,82
u000284,control,0,0.0,android,375
u000285,control,0,0.0,android,54
u000286,control,0,0.0,ios,764
u000287,control,1,14.64,android,37
u000288,control,0,0.0,web,64
u000289,control,1,20.26,android,75
u000290,control,1,139.47,web,421
u000291,control,1,10.79,ios,215
u000292,control,0,0.0,web,320
u000293,control,0,0.0,ios,135
u000294,control,0,0.0,web,30
u000295,control,0,0.0,android,342
u000296,control,1,25.2,android,122
u000297,control,0,0.0,android,216
u000298,control,0,0.0,ios,0
u000299,control,0,0.0,ios,265
u000300,control,0,0.0,ios,63
u000301,control,1,22.72,ios,52
u000302,control,0,0.0,ios,23
u000303,control,1,83.49,web,60
u000304,control,1,58.79,android,46
u000305,control,1,8.91,web,66
u000306,control,0,0.0,android,44
u000307,control,0,0.0,ios,315
u000308,control,1,14.88,android,59
u000309,control,0,0.0,ios,5
u000310,control,0,0.0,android,34
u000311,control,0,0.0,ios,102
u000312,control,1,23.52,web,200
u000313,control,0,0.0,android,130
u000314,control,1,19.16,ios,305
u000315,control,1,102.7,android,111
u000316,control,0,0.0,ios,130
u000317,control,0,0.0,ios,247
u000318,control,1,35.56,ios,25
u000319,control,1,30.86,web,485
u000320,control,0,0.0,ios,100
u000321,control,1,28.07,android,663
u000322,control,0,0.0,ios,171
u000323,control,0,0.0,web,202
u000324,control,0,0.0,android,5
u000325,control,0,0.0,ios,365
u000326,control,0,0.0,web,60
u000327,control,0,0.0,ios,140
u000328,control,0,0.0,web,245
u000329,control,1,21.43,android,158
u000330,control,1,56.46,web,129
u000331,control,1,88.71,android,84
u000332,control,0,0.0,web,349
u000333,control,0,0.0,android,113
u000334,control,0,0.0,web,156
u000335,control,1,50.48,android,124
u000336,control,0,0.0,ios,243
u000337,control,1,10.64,web,121
u000338,control,0,0.0,android,248
u000339,control,0,0.0,android,648
u000340,control,1,132.38,ios,6
u000341,control,1,83.99,ios,52
u000342,control,0,0.0,android,226
u000343,control,0,0.0,web,251
u000344,control,0,0.0,ios,19
u000345,control,0,0.0,web,132
u000346,control,1,28.62,ios,192
u000347,control,0,0.0,android,33
u000348,control,0,0.0,android,24
u000349,control,0,0.0,ios,211
u000350,control,0,0.0,ios,164
u000351,control,0,0.0,ios,1
u000352,control,0,0.0,android,68
u000353,control,0,0.0,android,231
u000354,control,0,0.0,web,45
u000355,control,0,0.0,ios,140
u000356,control,1,70.26,web,1
u000357,control,1,97.37,android,488
u000358,control,0,0.0,web,52
u000359,control,0,0.0,ios,136
u000360,control,0,0.0,ios,435
u000361,control,0,0.0,web,199
u000362,control,0,0.0,ios,284
u000363,control,1,21.87,web,265
u000364,control,1,9.88,web,139
u000365,control,0,0.0,ios,22
u000366,control,1,23.17,android,156
u000367,control,0,0.0,android,216
u000368,control,0,0.0,ios,542
u000369,control,0,0.0,ios,196
u000370,control,0,0.0,android,45
u000371,control,1,25.62,ios,380
u000372,control,0,0.0,ios,115
u000373,control,0,0.0,web,34
u000374,control,0,0.0,ios,29
u000375,control,1,33.68,ios,124
u000376,control,0,0.0,android,513
u000377,control,0,0.0,ios,17
u000378,control,0,0.0,ios,27
u000379,control,0,0.0,web,183
u000380,control,0,0.0,android,254
u000381,control,1,14.04,ios,207
u000382,control,0,0.0,ios,93
u000383,control,0,0.0,android,66
u000384,control,0,0.0,ios,222
u000385,control,0,0.0,ios,164
u000386,control,0,0.0,web,201
u000387,control,0,0.0,ios,58
u000388,control,0,0.0,ios,68
u000389,control,0,0.0,web,224
u000390,control,0,0.0,android,236
u000391,control,0,0.0,ios,148
u000392,control,0,0.0,web,169
u000393,control,1,98.83,ios,151
u000394,control,0,0.0,web,22
u000395,control,0,0.0,android,3
u000396,control,1,33.87,web,177
u000397,control,0,0.0,android,481
u000398,control,1,35.36,android,21
u000399,control,1,20.35,android,30
u000400,control,0,0.0,ios,238
u000401,control,0,0.0,ios,409
u000402,control,1,25.37,android,268
u000403,control,0,0.0,android,102
u000404,control,0,0.0,ios,51
u000405,control,0,0.0,android,288
u000406,control,0,0.0,web,6
u000407,control,0,0.0,ios,97
u000408,control,0,0.0,ios,237
u000409,control,1,15.05,android,119
u000410,control,1,124.24,web,58
u000411,control,1,17.3,web,186
u000412,control,0,0.0,android,51
u000413,control,1,72.33,android,217
u000414,control,0,0.0,ios,38
u000415,control,0,0.0,web,190
u000416,control,0,0.0,ios,377
u000417,control,0,0.0,android,303
u000418,control,1,87.15,web,191
u000419,control,0,0.0,ios,62
u000420,control,0,0.0,web,9
u000421,control,0,0.0,ios,553
u000422,control,1,8.75,web,88
u000423,control,0,0.0,ios,107
u000424,control,0,0.0,android,34
u000425,control,0,0.0,android,189
u000426,control,0,0.0,web,336
u000427,control,0,0.0,android,194
u000428,control,1,31.14,android,110
u000429,control,1,25.21,android,367
u000430,control,0,0.0,android,325
u000431,control,0,0.0,ios,32
u000432,control,0,0.0,android,30
u000433,control,1,30.22,ios,146
u000434,control,0,0.0,ios,148
u000435,control,0,0.0,android,55
u000436,control,0,0.0,ios,1157
u000437,control,0,0.0,ios,95
u000438,control,0,0.0,android,8
u000439,control,0,0.0,ios,154
u000440,control,0,0.0,ios,46
u000441,control,0,0.0,web,68
u000442,control,0,0.0,web,243
u000443,control,1,25.96,ios,135
u000444,control,0,0.0,web,756
u000445,control,0,0.0,android,181
u000446,control,0,0.0,web,18
u000447,control,0,0.0,android,39
u000448,control,0,0.0,web,500
u000449,control,1,46.26,web,63
u000450,control,0,0.0,android,292
u000451,control,0,0.0,ios,44
u000452,control,0,0.0,web,142
u000453,control,0,0.0,android,535
u000454,control,0,0.0,android,26
u000455,control,0,0.0,web,38
u000456,control,0,0.0,ios,312
u000457,control,0,0.0,web,44
u000458,control,0,0.0,web,199
u000459,control,0,0.0,ios,313
u000460,control,1,15.86,ios,20
u000461,control,1,12.71,web,209
u000462,control,0,0.0,ios,474
u000463,control,0,0.0,ios,885
u000464,control,0,0.0,android,4
u000465,control,0,0.0,ios,317
u000466,control,0,0.0,android,65
u000467,control,1,45.0,web,145
u000468,control,0,0.0,android,152
u000469,control,1,25.11,android,203
u000470,control,0,0.0,ios,16
u000471,control,0,0.0,ios,263
u000472,control,0,0.0,android,26
u000473,control,0,0.0,web,443
u000474,control,0,0.0,web,71
u000475,control,0,0.0,ios,95
u000476,control,1,14.54,android,133
u000477,control,1,58.68,web,315
u000478,control,1,16.37,ios,161
u000479,control,0,0.0,web,19
u000480,control,1,201.81,ios,64
u000481,control,1,120.15,ios,58
u000482,control,0,0.0,ios,184
u000483,control,1,17.88,android,47
u000484,control,0,0.0,ios,7
u000485,control,0,0.0,web,173
u000486,control,0,0.0,ios,315
u000487,control,1,102.3,ios,360
u000488,control,0,0.0,web,496
u000489,control,1,33.85,android,466
u000490,control,0,0.0,ios,42
u000491,control,1,21.19,android,119
u000492,control,1,12.78,android,40
u000493,control,0,0.0,android,49
u000494,control,0,0.0,ios,15
u000495,control,1,13.23,ios,272
u000496,control,0,0.0,web,123
u000497,control,1,77.47,ios,481
u000498,control,0,0.0,android,96
u000499,control,1,15.62,web,60
u000500,control,0,0.0,ios,20
u000501,control,0,0.0,ios,170
u000502,control,1,106.35,android,148
u000503,control,1,14.65,android,67
u000504,control,1,32.27,ios,48
u000505,control,1,16.66,ios,447
u000506,control,0,0.0,android,79
u000507,control,0,0.0,ios,0
u000508,control,0,0.0,ios,25
u000509,control,0,0.0,ios,79
u000510,control,0,0.0,ios,676
u000511,control,0,0.0,web,304
u000512,control,0,0.0,ios,14
u000513,control,0,0.0,ios,145
u000514,control,0,0.0,web,94
u000515,control,1,18.12,ios,3
u000516,control,0,0.0,android,619
u000517,control,1,29.46,android,53
u000518,control,0,0.0,web,492
u000519,control,1,95.13,android,561
u000520,control,0,0.0,ios,547
u000521,control,0,0.0,ios,17
u000522,control,0,0.0,android,427
u000523,control,1,35.7,ios,83
u000524,control,1,42.39,android,216
u000525,control,0,0.0,ios,95
u000526,control,0,0.0,ios,3
u000527,control,1,29.58,android,842
u000528,control,1,13.26,android,143
u000529,control,0,0.0,ios,209
u000530,control,0,0.0,ios,44
u000531,control,1,27.86,web,238
u000532,control,0,0.0,ios,198
u000533,control,1,16.08,web,104
u000534,control,0,0.0,ios,112
u000535,control,0,0.0,web,53
u000536,control,0,0.0,ios,85
u000537,control,1,10.38,android,354
u000538,control,1,155.84,ios,145
u000539,control,1,19.15,ios,512
u000540,control,1,35.81,android,8
u000541,control,0,0.0,android,16
u000542,control,1,40.15,ios,335
u000543,control,1,35.78,android,533
u000544,control,1,56.06,web,97
u000545,control,0,0.0,ios,12
u000546,control,1,54.47,web,274
u000547,control,1,135.19,android,65
u000548,control,0,0.0,android,27
u000549,control,1,136.52,web,21
u000550,control,0,0.0,ios,37
u000551,control,1,13.7,ios,195
u000552,control,0,0.0,android,82
u000553,control,0,0.0,ios,130
u000554,control,0,0.0,android,256
u000555,control,0,0.0,ios,77
u000556,control,1,61.32,ios,308
u000557,control,0,0.0,android,56
u000558,control,0,0.0,web,33
u000559,control,0,0.0,android,112
u000560,control,0,0.0,android,8
u000561,control,0,0.0,ios,330
u000562,control,0,0.0,web,33
u000563,control,0,0.0,android,435
u000564,control,1,92.38,android,545
u000565,control,1,97.43,android,9
u000566,control,0,0.0,android,69
u000567,control,0,0.0,android,353
u000568,control,0,0.0,ios,222
u000569,control,0,0.0,web,45
u000570,control,1,47.39,android,246
u000571,control,0,0.0,ios,60
u000572,control,0,0.0,ios,55
u000573,control,0,0.0,ios,51
u000574,control,0,0.0,ios,19
u000575,control,0,0.0,web,30
u000576,control,0,0.0,ios,181
u000577,control,0,0.0,android,184
u000578,control,1,22.75,web,91
u000579,control,0,0.0,web,170
u000580,control,0,0.0,android,70
u000581,control,1,57.14,ios,204
u000582,control,1,36.95,android,125
u000583,control,1,28.91,web,839
u000584,control,0,0.0,ios,527
u000585,control,0,0.0,android,106
u000586,control,0,0.0,android,6
u000587,control,1,8.24,ios,22
u000588,control,0,0.0,ios,117
u000589,control,1,26.89,ios,9
u000590,control,0,0.0,ios,54
u000591,control,0,0.0,android,200
u000592,control,1,66.25,web,193
u000593,control,0,0.0,ios,238
u000594,control,1,84.39,ios,12
u000595,control,0,0.0,android,446
u000596,control,1,47.31,web,120
u000597,control,0,0.0,web,48
u000598,control,0,0.0,web,72
u000599,control,0,0.0,android,72
u000600,control,0,0.0,ios,38
u000601,control,1,14.9,web,63
u000602,control,0,0.0,android,314
u000603,control,0,0.0,ios,223
u000604,control,0,0.0,web,1
u000605,control,1,142.8,ios,91
u000606,control,1,56.88,web,121
u000607,control,1,13.22,ios,236
u000608,control,0,0.0,web,141
u000609,control,0,0.0,android,411
u000610,control,0,0.0,web,10
u000611,control,0,0.0,web,169
u000612,control,0,0.0,android,42
u000613,control,0,0.0,ios,62
u000614,control,0,0.0,android,7
u000615,control,0,0.0,web,345
u000616,control,1,44.65,web,41
u000617,control,0,0.0,android,52
u000618,control,1,72.44,web,28
u000619,control,0,0.0,web,31
u000620,control,1,56.5,web,24
u000621,control,0,0.0,web,582
u000622,control,0,0.0,android,162
u000623,control,1,68.37,android,168
u000624,control,0,0.0,android,275
u000625,control,1,103.55,web,1
u000626,control,0,0.0,web,43
u000627,control,0,0.0,web,269
u000628,control,1,3.89,android,109
u000629,control,1,39.68,android,40
u000630,control,1,27.86,web,172
u000631,control,0,0.0,ios,139
u000632,control,0,0.0,android,514
u000633,control,0,0.0,web,15
u000634,control,1,110.57,android,39
u000635,control,0,0.0,web,27
u000636,control,0,0.0,ios,429
u000637,control,0,0.0,ios,46
u000638,control,1,6.81,android,192
u000639,control,0,0.0,android,168
u000640,control,1,73.97,android,165
u000641,control,0,0.0,ios,229
u000642,control,1,16.09,android,4
u000643,control,0,0.0,android,95
u000644,control,0,0.0,android,163
u000645,control,0,0.0,ios,0
u000646,control,0,0.0,ios,2
u000647,control,0,0.0,android,155
u000648,control,1,25.25,android,45
u000649,control,0,0.0,ios,143
u000650,control,1,14.05,ios,1
u000651,control,1,68.05,web,227
u000652,control,0,0.0,web,116
u000653,control,0,0.0,android,123
u000654,control,0,0.0,android,109
u000655,control,1,45.6,ios,66
u000656,control,0,0.0,android,255
u000657,control,0,0.0,android,701
u000658,control,0,0.0,ios,139
u000659,control,0,0.0,web,29
u000660,control,1,8.05,web,36
u000661,control,0,0.0,android,27
u000662,control,0,0.0,ios,431
u000663,control,0,0.0,web,70
u000664,control,1,45.62,web,150
u000665,control,1,12.0,ios,350
u000666,control,0,0.0,ios,119
u000667,control,0,0.0,ios,332
u000668,control,1,25.87,web,259
u000669,control,1,42.7,ios,102
u000670,control,1,39.09,android,60
u000671,control,1,12.4,android,46
u000672,control,0,0.0,ios,92
u000673,control,1,9.21,ios,173
u000674,control,1,35.85,android,77
u000675,control,1,27.21,ios,173
u000676,control,0,0.0,ios,534
u000677,control,0,0.0,ios,134
u000678,control,1,7.82,web,28
u000679,control,1,31.07,android,168
u000680,control,0,0.0,ios,115
u000681,control,1,8.33,android,156
u000682,control,1,71.51,ios,242
u000683,control,1,20.33,android,105
u000684,control,1,54.15,android,57
u000685,control,0,0.0,web,84
u000686,control,1,54.61,android,133
u000687,control,1,42.76,android,206
u000688,control,0,0.0,web,126
u000689,control,0,0.0,web,140
u000690,control,1,17.26,web,197
u000691,control,0,0.0,android,443
u000692,control,1,31.11,ios,255
u000693,control,1,26.41,web,7
u000694,control,0,0.0,web,105
u000695,control,0,0.0,ios,13
u000696,control,0,0.0,android,637
u000697,control,0,0.0,ios,566
u000698,control,1,18.25,web,38
u000699,control,0,0.0,web,56
u000700,control,0,0.0,android,238
u000701,control,0,0.0,ios,66
u000702,control,0,0.0,android,554
u000703,control,0,0.0,ios,165
u000704,control,1,42.56,ios,23
u000705,control,1,34.5,web,408
u000706,control,1,140.56,ios,305
u000707,control,1,40.39,web,290
u000708,control,1,130.44,android,366
u000709,control,0,0.0,ios,152
u000710,control,1,13.21,web,38
u000711,control,1,33.55,ios,189
u000712,control,1,85.57,ios,3
u000713,control,1,38.09,web,154
u000714,control,1,39.39,android,186
u000715,control,0,0.0,ios,56
u000716,control,0,0.0,web,331
u000717,control,0,0.0,ios,172
u000718,control,1,121.2,android,14
u000719,control,0,0.0,ios,181
u000720,control,1,35.95,android,20
u000721,control,0,0.0,android,67
u000722,control,1,14.36,ios,116
u000723,control,0,0.0,web,73
u000724,control,0,0.0,ios,136
u000725,control,1,10.63,android,832
u000726,control,1,11.69,android,610
u000727,control,1,17.86,android,407
u000728,control,0,0.0,android,326
u000729,control,0,0.0,android,296
u000730,control,0,0.0,ios,459
u000731,control,1,137.51,web,434
u000732,control,0,0.0,android,170
u000733,control,1,50.66,android,339
u000734,control,0,0.0,web,61
u000735,control,0,0.0,ios,143
u000736,control,1,2.96,ios,215
u000737,control,0,0.0,android,66
u000738,control,0,0.0,ios,60
u000739,control,0,0.0,ios,130
u000740,control,0,0.0,ios,141
u000741,control,1,48.68,ios,114
u000742,control,1,13.99,ios,335
u000743,control,0,0.0,ios,173
u000744,control,1,32.57,web,380
u000745,control,0,0.0,android,116
u000746,control,1,12.59,web,120
u000747,control,0,0.0,android,125
u000748,control,0,0.0,ios,39
u000749,control,0,0.0,ios,481
u000750,control,0,0.0,ios,142
u000751,control,0,0.0,ios,313
u000752,control,0,0.0,ios,109
u000753,control,1,31.39,web,195
u000754,control,1,16.84,android,180
u000755,control,0,0.0,web,63
u000756,control,0,0.0,web,21
u000757,control,1,190.13,ios,307
u000758,control,0,0.0,ios,9
u000759,control,0,0.0,android,45
u000760,control,1,25.99,ios,273
u000761,control,0,0.0,android,277
u000762,control,1,32.47,ios,63
u000763,control,1,23.67,web,558
u000764,control,1,35.66,android,106
u000765,control,1,40.85,ios,254
u000766,control,0,0.0,web,295
u000767,control,1,9.35,web,36
u000768,control,1,49.85,ios,128
u000769,control,1,37.02,ios,112
u000770,control,1,71.09,ios,66
u000771,control,0,0.0,web,2
u000772,control,1,15.85,web,724
u000773,control,1,19.84,web,16
u000774,control,0,0.0,ios,8
u000775,control,0,0.0,android,222
u000776,control,1,32.29,ios,137
u000777,control,0,0.0,ios,39
u000778,control,0,0.0,android,14
u000779,control,1,52.22,web,56
u000780,control,1,115.92,web,127
u000781,control,1,26.9,ios,332
u000782,control,1,97.12,ios,14
u000783,control,0,0.0,ios,163
u000784,control,0,0.0,web,174
u000785,control,1,83.57,web,5
u000786,control,1,29.48,ios,47
u000787,control,1,35.18,android,55
u000788,control,0,0.0,android,389
u000789,control,0,0.0,ios,27
u000790,control,1,53.32,android,92
u000791,control,0,0.0,android,36
u000792,control,0,0.0,android,589
u000793,control,0,0.0,ios,65
u000794,control,1,113.3,ios,77
u000795,control,0,0.0,ios,41
u000796,control,1,44.93,android,332
u000797,control,0,0.0,web,90
u000798,control,1,123.08,ios,449
u000799,control,1,4.76,ios,39
u000800,control,0,0.0,ios,46
u000801,control,0,0.0,web,651
u000802,control,0,0.0,web,97
u000803,control,1,35.2,web,24
u000804,control,0,0.0,android,48
u000805,control,0,0.0,ios,68
u000806,control,0,0.0,web,39
u000807,control,0,0.0,android,30
u000808,control,0,0.0,android,845
u000809,control,0,0.0,web,244
u000810,control,0,0.0,ios,284
u000811,control,0,0.0,android,35
u000812,control,0,0.0,android,110
u000813,control,0,0.0,ios,255
u000814,control,0,0.0,ios,1071
u000815,control,0,0.0,android,64
u000816,control,1,28.54,ios,99
u000817,control,1,15.05,android,201
u000818,control,0,0.0,ios,47
u000819,control,1,16.44,android,175
u000820,control,0,0.0,android,8
u000821,control,0,0.0,web,173
u000822,control,0,0.0,android,739
u000823,control,0,0.0,android,773
u000824,control,1,54.58,web,93
u000825,control,1,39.7,ios,7
u000826,control,0,0.0,web,10
u000827,control,1,35.66,ios,179
u000828,control,1,19.07,ios,111
u000829,control,0,0.0,ios,179
u000830,control,0,0.0,ios,431
u000831,control,0,0.0,android,143
u000832,control,0,0.0,web,116
u000833,control,0,0.0,ios,20
u000834,control,0,0.0,android,93
u000835,control,0,0.0,ios,160
u000836,control,1,75.84,ios,16
u000837,control,0,0.0,android,151
u000838,control,0,0.0,ios,471
u000839,control,1,35.52,ios,24
u000840,control,1,44.02,android,396
u000841,control,1,19.15,ios,209
u000842,control,0,0.0,ios,107
u000843,control,0,0.0,ios,258
u000844,control,0,0.0,ios,862
u000845,control,1,6.33,web,53
u000846,control,0,0.0,android,90
u000847,control,0,0.0,web,334
u000848,control,1,41.66,android,23
u000849,control,1,138.36,android,116
