user_id,variant,checkout_started,checkout_completed,revenue,platform,signup_days,device_type
u000044,control,1,0,0.0,ios,79,mobile
u000045,control,1,0,0.0,web,109,desktop
u000046,control,1,0,0.0,web,17,mobile
u000047,control,1,1,66.82,android,213,mobile
u000048,control,1,0,0.0,android,0,desktop
u000049,control,1,0,0.0,ios,1,mobile
u000050,control,1,1,43.69,ios,45,mobile
u000051,control,1,0,0.0,ios,91,desktop
u000052,control,1,0,0.0,web,152,mobile
u000053,control,1,1,72.99,android,125,mobile
u000054,control,1,0,0.0,ios,78,mobile
u000055,control,1,0,0.0,ios,93,desktop
u000056,control,1,0,0.0,ios,22,mobile
u000057,control,1,1,58.11,ios,168,tablet
u000058,control,1,0,0.0,ios,57,desktop
u000059,control,1,0,0.0,ios,196,desktop
u000060,control,1,0,0.0,web,48,desktop
u000061,control,1,0,0.0,android,84,mobile
u000062,control,1,0,0.0,ios,53,mobile
u000063,control,1,0,0.0,android,38,desktop
u000064,control,1,1,41.1,ios,77,desktop
u000065,control,1,0,0.0,android,40,tablet
u000066,control,1,0,0.0,ios,123,mobile
u000067,control,1,0,0.0,ios,11,desktop
u000068,control,1,0,0.0,ios,151,mobile
u000069,control,1,0,0.0,android,3,desktop
u000070,control,1,0,0.0,ios,180,mobile
u000071,control,1,0,0.0,android,201,mobile
u000072,control,1,0,0.0,android,189,mobile
u000073,control,1,0,0.0,web,61,mobile
u000074,control,1,1,45.29,web,22,mobile
u000075,control,1,0,0.0,android,10,tablet
u000076,control,1,0,0.0,android,12,desktop
u000077,control,1,0,0.0,ios,60,desktop
u000078,control,1,1,59.38,ios,448,mobile
u000079,control,1,0,0.0,ios,276,mobile
u000080,control,1,0,0.0,ios,9,desktop
u000081,control,1,1,38.55,android,42,mobile
u000082,control,1,0,0.0,ios,95,desktop
u000083,control,1,1,47.63,ios,163,tablet
u000084,control,1,1,28.88,ios,36,mobile
u000085,control,1,0,0.0,ios,214,desktop
u000086,control,1,0,0.0,ios,129,mobile
u000087,control,1,0,0.0,web,92,desktop
u000088,control,1,0,0.0,android,130,tablet
u000089,control,1,0,0.0,ios,202,desktop
u000090,control,1,0,0.0,android,8,mobile
u000091,control,1,0,0.0,web,50,mobile
u000092,control,1,0,0.0,ios,220,mobile
u000093,control,1,0,0.0,ios,79,mobile
u000094,control,1,0,0.0,ios,102,mobile
u000095,control,1,0,0.0,web,52,tablet
u000096,control,1,0,0.0,android,22,mobile
u000097,control,1,0,0.0,android,115,desktop
u000098,control,1,0,0.0,web,154,mobile
u000099,control,1,1,54.3,android,196,desktop
u000100,control,1,0,0.0,web,36,mobile
u000101,control,1,0,0.0,ios,336,mobile
u000102,control,1,1,44.56,android,139,mobile
u000103,control,1,0,0.0,android,19,desktop
u000104,control,1,0,0.0,ios,313,tablet
u000105,control,1,0,0.0,ios,251,desktop
u000106,control,1,0,0.0,android,383,mobile
u000107,control,1,0,0.0,android,120,mobile
u000108,control,1,0,0.0,android,62,mobile
u000109,control,1,0,0.0,ios,2,tablet
u000110,control,1,1,51.35,android,374,mobile
u000111,control,1,0,0.0,ios,837,desktop
u000112,control,1,0,0.0,ios,8,desktop
u000113,control,1,0,0.0,android,13,mobile
u000114,control,1,0,0.0,web,152,mobile
u000115,control,1,0,0.0,web,164,mobile
u000116,control,1,0,0.0,ios,164,desktop
u000117,control,1,0,0.0,web,119,desktop
u000118,control,1,0,0.0,web,21,mobile
u000119,control,1,0,0.0,ios,13,mobile
u000120,control,1,0,0.0,ios,172,desktop
u000121,control,1,0,0.0,android,287,desktop
u000122,control,1,0,0.0,web,37,mobile
u000123,control,1,1,35.07,ios,18,desktop
u000124,control,1,0,0.0,ios,3,desktop
u000125,control,1,0,0.0,android,173,mobile
u000126,control,1,0,0.0,android,312,mobile
u000127,control,1,0,0.0,web,55,tablet
u000128,control,1,0,0.0,android,415,mobile
u000129,control,1,1,47.63,ios,9,mobile
u000130,control,1,1,42.46,ios,214,mobile
u000131,control,1,0,0.0,android,74,mobile
u000132,control,1,0,0.0,ios,181,tablet
u000133,control,1,0,0.0,ios,426,mobile
u000134,control,1,1,24.83,ios,184,tablet
u000135,control,1,0,0.0,ios,90,mobile
u000136,control,1,0,0.0,ios,73,mobile
u000137,control,1,0,0.0,web,0,mobile
u000138,control,1,0,0.0,android,211,mobile
u000139,control,1,0,0.0,ios,245,desktop
u000140,control,1,0,0.0,ios,121,desktop
u000141,control,1,0,0.0,android,33,desktop
u000142,control,1,1,53.47,android,17,mobile
u000143,control,1,0,0.0,android,150,mobile
u000144,control,1,0,0.0,ios,35,tablet
u000145,control,1,0,0.0,ios,77,mobile
u000146,control,1,0,0.0,web,217,desktop
u000147,control,1,0,0.0,ios,62,mobile
u000148,control,1,0,0.0,ios,4,mobile
u000149,control,1,0,0.0,ios,31,mobile
u000150,control,1,1,53.87,ios,15,mobile
u000151,control,1,0,0.0,web,48,mobile
u000152,control,1,0,0.0,ios,153,mobile
u000153,control,1,1,9.39,ios,81,desktop
u000154,control,1,0,0.0,android,159,mobile
u000155,control,1,0,0.0,web,304,mobile
u000156,control,1,0,0.0,ios,33,tablet
u000157,control,1,0,0.0,android,8,desktop
u000158,control,1,0,0.0,ios,60,mobile
u000159,control,1,0,0.0,ios,100,mobile
u000160,control,1,0,0.0,web,84,mobile
u000161,control,1,1,11.81,web,40,mobile
u000162,control,1,0,0.0,ios,300,desktop
u000163,control,1,0,0.0,android,53,mobile
u000164,control,1,0,0.0,web,17,desktop
u000165,control,1,0,0.0,android,515,desktop
u000166,control,1,0,0.0,ios,209,mobile
u000167,control,1,1,35.71,web,7,desktop
u000168,control,1,1,38.51,ios,100,desktop
u000169,control,1,0,0.0,android,244,desktop
u000170,control,1,0,0.0,ios,34,mobile
u000171,control,1,0,0.0,ios,99,mobile
u000172,control,1,0,0.0,android,298,mobile
u000173,control,1,1,30.78,android,100,tablet
u000174,control,1,0,0.0,web,115,desktop
u000175,control,1,0,0.0,android,75,mobile
u000176,control,1,0,0.0,ios,300,mobile
u000177,control,1,0,0.0,android,27,mobile
u000178,control,1,0,0.0,android,7,desktop
u000179,control,1,0,0.0,android,51,desktop
u000180,control,1,0,0.0,web,70,desktop
u000181,control,1,0,0.0,android,355,mobile
u000182,control,1,0,0.0,web,237,mobile
u000183,control,1,0,0.0,ios,64,desktop
u000184,control,1,0,0.0,android,37,mobile
u000185,control,1,0,0.0,web,66,desktop
u000186,control,1,0,0.0,android,11,mobile
u000187,control,1,0,0.0,web,89,desktop
u000188,control,1,0,0.0,ios,130,mobile
u000189,control,1,0,0.0,ios,336,mobile
u000190,control,1,1,27.77,android,12,desktop
u000191,control,1,0,0.0,ios,34,mobile
u000192,control,1,0,0.0,android,30,tablet
u000193,control,1,0,0.0,android,136,desktop
u000194,control,1,0,0.0,web,47,mobile
u000195,control,1,0,0.0,android,27,mobile
u000196,control,1,0,0.0,ios,227,mobile
u000197,control,1,0,0.0,android,45,mobile
u000198,control,1,0,0.0,ios,15,mobile
u000199,control,1,0,0.0,android,15,tablet
u000200,control,1,0,0.0,android,167,mobile
u000201,control,1,0,0.0,ios,135,mobile
u000202,control,1,0,0.0,ios,148,mobile
u000203,control,1,0,0.0,ios,14,mobile
u000204,control,1,0,0.0,android,131,desktop
u000205,control,1,0,0.0,android,87,mobile
u000206,control,1,0,0.0,web,37,desktop
u000207,control,1,0,0.0,ios,45,mobile
u000208,control,1,0,0.0,ios,281,mobile
u000209,control,1,0,0.0,ios,126,mobile
u000210,control,1,0,0.0,android,73,mobile
u000211,control,1,0,0.0,ios,72,mobile
u000212,control,1,0,0.0,web,67,mobile
u000213,control,1,0,0.0,web,35,mobile
u000214,control,1,1,56.15,ios,34,mobile
u000215,control,1,0,0.0,android,276,desktop
u000216,control,1,0,0.0,ios,35,desktop
u000217,control,1,0,0.0,ios,142,desktop
u000218,control,1,0,0.0,web,109,mobile
u000219,control,1,0,0.0,android,236,mobile
u000220,control,1,0,0.0,ios,342,tablet
u000221,control,1,1,36.58,android,386,mobile
u000222,control,1,0,0.0,web,57,mobile
u000223,control,1,0,0.0,ios,34,mobile
u000224,control,1,0,0.0,ios,13,desktop
u000225,control,1,0,0.0,web,6,tablet
u000226,control,1,1,54.2,web,95,desktop
u000227,control,1,0,0.0,android,120,desktop
u000228,control,1,0,0.0,android,174,mobile
u000229,control,1,0,0.0,web,23,desktop
u000230,control,1,1,28.08,ios,5,tablet
u000231,control,1,1,25.79,android,22,desktop
u000232,control,1,0,0.0,ios,49,mobile
u000233,control,1,0,0.0,ios,376,desktop
u000234,control,1,1,42.46,ios,13,mobile
u000235,control,1,0,0.0,web,47,mobile
u000236,control,1,0,0.0,web,157,mobile
u000237,control,1,0,0.0,ios,61,desktop
u000238,control,1,0,0.0,ios,179,desktop
u000239,control,1,0,0.0,web,92,desktop
u000240,control,1,0,0.0,web,170,desktop
u000241,control,1,0,0.0,ios,41,mobile
u000242,control,1,0,0.0,android,548,mobile
u000243,control,1,0,0.0,android,150,mobile
u000244,control,1,1,65.45,ios,7,mobile
u000245,control,1,0,0.0,web,138,mobile
u000246,control,1,0,0.0,ios,71,mobile
u000247,control,1,0,0.0,android,68,desktop
u000248,control,1,1,39.44,web,99,mobile
u000249,control,1,0,0.0,web,99,desktop
u000250,control,1,0,0.0,ios,26,desktop
u000251,control,1,0,0.0,web,15,desktop
u000252,control,1,0,0.0,ios,25,mobile
u000253,control,1,0,0.0,web,33,mobile
u000254,control,1,1,51.9,web,201,mobile
u000255,control,1,0,0.0,web,54,desktop
u000256,control,1,0,0.0,ios,39,mobile
u000257,control,1,1,34.91,android,21,tablet
u000258,control,1,0,0.0,ios,445,desktop
u000259,control,1,0,0.0,ios,88,tablet
u000260,control,1,0,0.0,web,294,desktop
u000261,control,1,0,0.0,android,5,mobile
u000262,control,1,0,0.0,ios,176,desktop
u000263,control,1,0,0.0,android,288,tablet
u000264,control,1,0,0.0,ios,140,desktop
u000265,control,1,0,0.0,ios,33,desktop
u000266,control,1,0,0.0,android,29,tablet
u000267,control,1,0,0.0,android,28,mobile
u000268,control,1,0,0.0,ios,69,tablet
u000269,control,1,0,0.0,ios,41,mobile
u000270,control,1,1,26.79,ios,248,mobile
u000271,control,1,0,0.0,ios,13,mobile
u000272,control,1,0,0.0,ios,179,mobile
u000273,control,1,0,0.0,android,133,desktop
u000274,control,1,0,0.0,android,44,mobile
u000275,control,1,0,0.0,ios,237,mobile
u000276,control,1,1,38.25,android,148,desktop
u000277,control,1,0,0.0,android,16,tablet
u000278,control,1,0,0.0,ios,102,mobile
u000279,control,1,0,0.0,ios,47,tablet
u000280,control,1,0,0.0,web,40,mobile
u000281,control,1,0,0.0,ios,36,mobile
u000282,control,1,0,0.0,android,6,mobile
u000283,control,1,0,0.0,ios,29,tablet
u000284,control,1,1,36.66,android,36,tablet
u000285,control,1,0,0.0,android,1,mobile
u000286,control,1,0,0.0,web,231,mobile
u000287,control,1,0,0.0,android,2,desktop
u000288,control,1,1,24.83,ios,4,desktop
u000289,control,1,0,0.0,ios,49,mobile
u000290,control,1,0,0.0,android,49,tablet
u000291,control,1,0,0.0,ios,6,mobile
u000292,control,1,1,47.65,android,9,mobile
u000293,control,1,0,0.0,web,234,desktop
u000294,control,1,0,0.0,android,879,desktop
u000295,control,1,1,12.63,ios,392,mobile
u000296,control,1,0,0.0,android,312,mobile
u000297,control,1,0,0.0,web,110,mobile
u000298,control,1,0,0.0,android,26,mobile
u000299,control,1,0,0.0,web,152,mobile
u000300,control,1,0,0.0,android,168,mobile
u000301,control,1,0,0.0,ios,12,tablet
u000302,control,1,1,37.38,web,147,mobile
u000303,control,1,0,0.0,web,205,desktop
u000304,control,1,0,0.0,ios,117,desktop
u000305,control,1,0,0.0,ios,119,mobile
u000306,control,1,0,0.0,android,74,mobile
u000307,control,1,0,0.0,android,155,desktop
u000308,control,1,0,0.0,android,41,mobile
u000309,control,1,0,0.0,android,51,tablet
u000310,control,1,1,66.37,android,49,tablet
u000311,control,1,1,28.33,android,153,mobile
u000312,control,1,1,59.77,web,182,desktop
u000313,control,1,1,40.4,web,118,desktop
u000314,control,1,0,0.0,web,11,mobile
u000315,control,1,0,0.0,android,39,mobile
u000316,control,1,0,0.0,web,693,mobile
u000317,control,1,0,0.0,web,140,desktop
u000318,control,1,0,0.0,web,238,desktop
u000319,control,1,0,0.0,web,96,mobile
u000320,control,1,0,0.0,android,1,desktop
u000321,control,1,0,0.0,ios,282,mobile
u000322,control,1,0,0.0,android,31,desktop
u000323,control,1,0,0.0,android,318,mobile
u000324,control,1,0,0.0,ios,28,mobile
u000325,control,1,0,0.0,web,145,mobile
u000326,control,1,0,0.0,web,149,mobile
u000327,control,1,0,0.0,android,26,mobile
u000328,control,1,1,68.49,android,47,tablet
u000329,control,1,1,67.68,web,183,desktop
u000330,control,1,0,0.0,android,69,mobile
u000331,control,1,0,0.0,android,49,desktop
u000332,control,1,0,0.0,android,218,mobile
u000333,control,1,1,9.98,android,51,mobile
u000334,control,1,1,70.38,web,77,mobile
u000335,control,1,1,45.03,android,44,mobile
u000336,control,1,0,0.0,web,15,mobile
u000337,control,1,0,0.0,android,94,desktop
u000338,control,1,0,0.0,ios,149,mobile
u000339,control,1,0,0.0,ios,98,desktop
u000340,control,1,0,0.0,web,216,desktop
u000341,control,1,0,0.0,ios,43,desktop
u000342,control,1,1,43.9,ios,141,desktop
u000343,control,1,0,0.0,web,479,mobile
u000344,control,1,0,0.0,ios,368,tablet
u000345,control,1,0,0.0,android,77,mobile
u000346,control,1,0,0.0,ios,34,mobile
u000347,control,1,0,0.0,web,32,desktop
u000348,control,1,0,0.0,ios,110,mobile
u000349,control,1,1,60.62,android,24,mobile
u000350,control,1,0,0.0,android,75,mobile
u000351,control,1,0,0.0,web,74,mobile
u000352,control,1,0,0.0,ios,12,mobile
u000353,control,1,0,0.0,android,17,mobile
u000354,control,1,0,0.0,android,74,desktop
u000355,control,1,0,0.0,android,27,desktop
u000356,control,1,0,0.0,android,76,desktop
u000357,control,1,0,0.0,android,344,mobile
u000358,control,1,0,0.0,ios,81,mobile
u000359,control,1,0,0.0,android,32,mobile
u000360,control,1,0,0.0,web,67,mobile
u000361,control,1,0,0.0,ios,185,mobile
u000362,control,1,0,0.0,ios,0,tablet
u000363,control,1,0,0.0,android,56,tablet
u000364,control,1,0,0.0,ios,37,desktop
u000365,control,1,0,0.0,ios,23,mobile
u000366,control,1,0,0.0,web,1,mobile
u000367,control,1,1,64.93,web,114,mobile
u000368,control,1,1,34.99,web,27,mobile
u000369,control,1,0,0.0,android,106,mobile
u000370,control,1,0,0.0,ios,186,tablet
u000371,control,1,0,0.0,web,4,desktop
u000372,control,1,0,0.0,web,70,mobile
u000373,control,1,1,35.27,web,54,desktop
u000374,control,1,0,0.0,ios,12,mobile
u000375,control,1,0,0.0,android,27,desktop
u000376,control,1,1,47.25,android,15,mobile
u000377,control,1,0,0.0,ios,47,tablet
u000378,control,1,0,0.0,android,51,desktop
u000379,control,1,0,0.0,ios,7,desktop
u000380,control,1,0,0.0,android,40,mobile
u000381,control,1,0,0.0,web,116,desktop
u000382,control,1,0,0.0,android,4,mobile
u000383,control,1,0,0.0,ios,139,mobile
u000384,control,1,0,0.0,ios,15,desktop
u000385,control,1,0,0.0,web,135,mobile
u000386,control,1,0,0.0,android,76,mobile
u000387,control,1,0,0.0,ios,282,mobile
u000388,control,1,0,0.0,android,101,mobile
u000389,control,1,0,0.0,android,315,desktop
u000390,control,1,0,0.0,ios,118,mobile
u000391,control,1,0,0.0,ios,47,desktop
u000392,control,1,0,0.0,ios,21,mobile
u000393,control,1,0,0.0,ios,341,desktop
u000394,control,1,0,0.0,android,1,mobile
u000395,control,1,0,0.0,ios,35,desktop
u000396,control,1,0,0.0,ios,107,mobile
u000397,control,1,1,40.23,ios,190,desktop
u000398,control,1,0,0.0,android,35,mobile
u000399,control,1,0,0.0,ios,296,desktop
u000400,control,1,0,0.0,ios,95,tablet
u000401,control,1,0,0.0,android,371,desktop
u000402,control,1,1,61.25,ios,218,mobile
u000403,control,1,0,0.0,web,43,mobile
u000404,control,1,1,76.44,ios,18,desktop
u000405,control,1,0,0.0,android,225,mobile
u000406,control,1,1,55.22,web,2,mobile
u000407,control,1,0,0.0,ios,23,mobile
u000408,control,1,0,0.0,android,24,mobile
u000409,control,1,0,0.0,web,26,mobile
u000410,control,1,0,0.0,ios,62,desktop
u000411,control,1,0,0.0,android,109,desktop
u000412,control,1,0,0.0,web,307,mobile
u000413,control,1,1,98.72,web,93,mobile
u000414,control,1,0,0.0,web,34,mobile
u000415,control,1,1,22.67,android,19,mobile
u000416,control,1,1,75.54,web,392,tablet
u000417,control,1,0,0.0,android,12,desktop
u000418,control,1,0,0.0,web,31,mobile
u000419,control,1,0,0.0,web,60,mobile
u000420,control,1,0,0.0,android,164,tablet
u000421,control,1,0,0.0,web,1,mobile
u000422,control,1,0,0.0,android,44,desktop
u000423,control,1,0,0.0,ios,130,tablet
u000424,control,1,0,0.0,android,32,mobile
u000425,control,1,0,0.0,android,106,mobile
u000426,control,1,0,0.0,android,112,tablet
u000427,control,1,0,0.0,web,42,desktop
u000428,control,1,0,0.0,ios,2,mobile
u000429,control,1,0,0.0,android,140,mobile
u000430,control,1,0,0.0,ios,395,mobile
u000431,control,1,0,0.0,ios,37,desktop
u000432,control,1,1,9.94,ios,231,mobile
u000433,control,1,0,0.0,web,73,mobile
u000434,control,1,0,0.0,web,182,mobile
u000435,control,1,0,0.0,ios,39,mobile
u000436,control,1,0,0.0,web,18,mobile
u000437,control,1,1,45.91,ios,8,mobile
u000438,control,1,0,0.0,ios,136,tablet
u000439,control,1,0,0.0,ios,114,desktop
u000440,control,1,0,0.0,ios,165,mobile
u000441,control,1,0,0.0,ios,102,desktop
u000442,control,1,0,0.0,android,154,mobile
u000443,control,1,0,0.0,web,50,mobile
u000444,control,1,1,69.02,web,30,desktop
u000445,control,1,0,0.0,ios,0,desktop
u000446,control,1,0,0.0,ios,425,mobile
u000447,control,1,0,0.0,ios,73,mobile
u000448,control,1,0,0.0,android,14,mobile
u000449,control,1,0,0.0,web,348,mobile
u000450,control,1,0,0.0,android,74,mobile
u000451,control,1,0,0.0,android,130,desktop
u000452,control,1,0,0.0,ios,213,mobile
u000453,control,1,1,49.79,ios,28,mobile
u000454,control,1,1,77.93,ios,336,mobile
u000455,control,1,1,59.13,android,140,desktop
u000456,control,1,1,26.64,ios,47,mobile
u000457,control,1,0,0.0,ios,93,mobile
u000458,control,1,0,0.0,ios,222,desktop
u000459,control,1,0,0.0,android,8,desktop
u000460,control,1,0,0.0,android,502,mobile
u000461,control,1,0,0.0,ios,499,mobile
u000462,control,1,0,0.0,android,272,desktop
u000463,control,1,0,0.0,web,115,desktop
u000464,control,1,0,0.0,android,48,desktop
u000465,control,1,0,0.0,android,141,tablet
u000466,control,1,0,0.0,web,3,desktop
u000467,control,1,1,58.98,web,68,mobile
u000468,control,1,0,0.0,ios,3,desktop
u000469,control,1,0,0.0,web,73,mobile
u000470,control,1,0,0.0,web,29,desktop
u000471,control,1,0,0.0,ios,2,desktop
u000472,control,1,0,0.0,web,135,mobile
u000473,control,1,0,0.0,web,9,mobile
u000474,control,1,1,44.94,ios,58,mobile
u000475,control,1,0,0.0,ios,41,desktop
u000476,control,1,0,0.0,web,3,desktop
u000477,control,1,0,0.0,ios,56,mobile
u000478,control,1,0,0.0,android,179,mobile
u000479,control,1,0,0.0,ios,1,desktop
u000480,control,1,0,0.0,ios,92,mobile
u000481,control,1,0,0.0,web,162,mobile
u000482,control,1,0,0.0,ios,374,tablet
u000483,control,1,0,0.0,ios,187,mobile
u000484,control,1,0,0.0,ios,348,desktop
u000485,control,1,0,0.0,android,6,desktop
u000486,control,1,1,41.17,ios,73,mobile
u000487,control,1,0,0.0,ios,247,tablet
u000488,control,1,0,0.0,ios,287,mobile
u000489,control,1,0,0.0,android,256,tablet
u000490,control,1,0,0.0,ios,15,mobile
u000491,control,1,0,0.0,ios,355,mobile
u000492,control,1,0,0.0,web,22,mobile
u000493,control,1,0,0.0,android,73,tablet
u000494,control,1,0,0.0,ios,36,mobile
u000495,control,1,0,0.0,ios,144,desktop
u000496,control,1,0,0.0,ios,18,mobile
u000497,control,1,1,29.45,android,74,mobile
u000498,control,1,0,0.0,web,142,tablet
u000499,control,1,0,0.0,ios,56,desktop
u000500,control,1,0,0.0,android,227,desktop
u000501,control,1,0,0.0,android,371,desktop
u000502,control,1,0,0.0,web,140,mobile
u000503,control,1,0,0.0,android,8,desktop
u000504,control,1,1,52.27,ios,31,mobile
u000505,control,1,1,39.16,ios,4,mobile
u000506,control,1,0,0.0,ios,0,tablet
u000507,control,1,0,0.0,android,47,tablet
u000508,control,1,0,0.0,web,12,mobile
u000509,control,1,0,0.0,ios,19,desktop
u000510,control,1,1,90.57,ios,450,desktop
u000511,control,1,0,0.0,ios,31,mobile
u000512,control,1,0,0.0,web,117,mobile
u000513,control,1,0,0.0,web,8,mobile
u000514,control,1,0,0.0,android,51,mobile
u000515,control,1,0,0.0,ios,250,mobile
u000516,control,1,1,50.63,android,156,mobile
u000517,control,1,1,42.79,ios,175,desktop
u000518,control,1,0,0.0,ios,78,mobile
u000519,control,1,0,0.0,android,25,tablet
u000520,control,1,0,0.0,ios,45,desktop
u000521,control,1,0,0.0,ios,202,tablet
u000522,control,1,0,0.0,android,47,desktop
u000523,control,1,0,0.0,android,202,desktop
u000524,control,1,0,0.0,ios,18,mobile
u000525,control,1,0,0.0,android,174,mobile
u000526,control,1,1,43.87,android,38,desktop
u000527,control,1,0,0.0,android,343,tablet
u000528,control,1,0,0.0,android,100,tablet
u000529,control,1,0,0.0,ios,162,desktop
u000530,control,1,0,0.0,android,455,desktop
u000531,control,1,0,0.0,android,279,desktop
u000532,control,1,0,0.0,web,22,desktop
u000533,control,1,0,0.0,web,35,mobile
u000534,control,1,0,0.0,android,152,mobile
u000535,control,1,0,0.0,web,14,desktop
u000536,control,1,0,0.0,web,22,mobile
u000537,control,1,1,13.54,web,43,desktop
u000538,control,1,0,0.0,web,60,mobile
u000539,control,1,0,0.0,web,94,mobile
u000540,control,1,0,0.0,web,58,desktop
u000541,control,1,0,0.0,ios,22,tablet
u000542,control,1,0,0.0,android,212,tablet
u000543,control,1,0,0.0,ios,25,mobile
u000544,control,1,0,0.0,ios,18,mobile
u000545,control,1,0,0.0,ios,254,mobile
u000546,control,1,0,0.0,android,172,desktop
u000547,control,1,0,0.0,android,10,mobile
u000548,control,1,0,0.0,web,438,mobile
u000549,control,1,0,0.0,web,173,desktop
u000550,control,1,1,28.11,android,108,mobile
u000551,control,1,0,0.0,android,26,mobile
u000552,control,1,0,0.0,android,84,mobile
u000553,control,1,0,0.0,ios,36,mobile
u000554,control,1,0,0.0,ios,195,mobile
u000555,control,1,0,0.0,ios,177,desktop
u000556,control,1,0,0.0,android,71,mobile
u000557,control,1,0,0.0,web,389,mobile
u000558,control,1,1,35.63,android,69,mobile
u000559,control,1,0,0.0,web,298,mobile
u000560,control,1,0,0.0,android,529,mobile
u000561,control,1,1,44.33,android,96,desktop
u000562,control,1,0,0.0,android,22,desktop
u000563,control,1,0,0.0,ios,51,desktop
u000564,control,1,0,0.0,web,143,desktop
u000565,control,1,0,0.0,ios,199,mobile
u000566,control,1,0,0.0,ios,0,tablet
u000567,control,1,0,0.0,ios,418,mobile
u000568,control,1,0,0.0,web,208,mobile
u000569,control,1,0,0.0,web,120,desktop
u000570,control,1,0,0.0,android,73,desktop
u000571,control,1,0,0.0,android,50,desktop
u000572,control,1,0,0.0,android,117,mobile
u000573,control,1,0,0.0,ios,35,mobile
u000574,control,1,0,0.0,android,177,mobile
u000575,control,1,0,0.0,web,270,mobile
u000576,control,1,0,0.0,web,150,mobile
u000577,control,1,1,16.8,ios,231,desktop
u000578,control,1,0,0.0,android,506,tablet
u000579,control,1,0,0.0,ios,187,mobile
u000580,control,1,0,0.0,android,249,mobile
u000581,control,1,0,0.0,web,97,mobile
u000582,control,1,0,0.0,web,66,tablet
u000583,control,1,0,0.0,web,108,mobile
u000584,control,1,0,0.0,android,288,mobile
u000585,control,1,0,0.0,ios,10,tablet
u000586,control,1,1,55.11,web,63,desktop
u000587,control,1,0,0.0,ios,121,mobile
u000588,control,1,1,14.72,android,167,tablet
u000589,control,1,0,0.0,ios,97,mobile
u000590,control,1,0,0.0,ios,156,mobile
u000591,control,1,0,0.0,android,383,mobile
u000592,control,1,0,0.0,android,10,mobile
u000593,control,1,0,0.0,ios,329,desktop
u000594,control,1,0,0.0,web,149,mobile
u000595,control,1,0,0.0,android,123,mobile
u000596,control,1,0,0.0,ios,8,desktop
u000597,control,1,1,57.76,android,173,desktop
u000598,control,1,0,0.0,ios,173,mobile
u000599,control,1,0,0.0,web,49,mobile
u000600,control,1,0,0.0,android,123,mobile
u000601,control,1,0,0.0,android,135,mobile
u000602,control,1,0,0.0,ios,188,mobile
u000603,control,1,0,0.0,android,91,mobile
u000604,control,1,0,0.0,ios,14,desktop
u000605,control,1,0,0.0,web,75,mobile
u000606,control,1,0,0.0,android,50,tablet
u000607,control,1,0,0.0,android,43,desktop
u000608,control,1,0,0.0,web,167,mobile
u000609,control,1,1,61.2,web,148,desktop
u000610,control,1,0,0.0,android,19,mobile
u000611,control,1,0,0.0,web,108,mobile
u000612,control,1,0,0.0,android,143,desktop
u000613,control,1,0,0.0,android,168,desktop
u000614,control,1,0,0.0,web,94,mobile
u000615,control,1,0,0.0,web,34,desktop
u000616,control,1,0,0.0,ios,92,mobile
u000617,control,1,0,0.0,android,86,mobile
u000618,control,1,0,0.0,android,21,desktop
u000619,control,1,0,0.0,ios,91,tablet
u000620,control,1,0,0.0,android,178,mobile
